Id,SalePrice
1461,80390
1462,80390
1463,80390
1464,80390
1465,80390
1466,80390
1467,80390
1468,80390
1469,80390
1470,80390
1471,80390
1472,80390
1473,80390
1474,80390
1475,80390
1476,80390
1477,80390
1478,80390
1479,80390
1480,80390
1481,80390
1482,80390
1483,80390
1484,80390
1485,80390
1486,80390
1487,80390
1488,80390
1489,80390
1490,80390
1491,80390
1492,80390
1493,80390
1494,80390
1495,80390
1496,80390
1497,80390
1498,80390
1499,80390
1500,80390
1501,80390
1502,80390
1503,80390
1504,80390
1505,80390
1506,80390
1507,80390
1508,80390
1509,80390
1510,80390
1511,80390
1512,80390
1513,80390
1514,80390
1515,80390
1516,80390
1517,80390
1518,80390
1519,80390
1520,80390
1521,80390
1522,80390
1523,80390
1524,80390
1525,80390
1526,80390
1527,80390
1528,80390
1529,80390
1530,80390
1531,80390
1532,80390
1533,80390
1534,80390
1535,80390
1536,80390
1537,80390
1538,80390
1539,80390
1540,80390
1541,80390
1542,80390
1543,80390
1544,80390
1545,80390
1546,80390
1547,80390
1548,80390
1549,80390
1550,80390
1551,80390
1552,80390
1553,80390
1554,80390
1555,80390
1556,80390
1557,80390
1558,80390
1559,80390
1560,80390
1561,80390
1562,80390
1563,80390
1564,80390
1565,80390
1566,80390
1567,80390
1568,80390
1569,80390
1570,80390
1571,80390
1572,80390
1573,80390
1574,80390
1575,80390
1576,80390
1577,80390
1578,80390
1579,80390
1580,80390
1581,80390
1582,80390
1583,80390
1584,80390
1585,80390
1586,80390
1587,80390
1588,80390
1589,80390
1590,80390
1591,80390
1592,80390
1593,80390
1594,80390
1595,80390
1596,80390
1597,80390
1598,80390
1599,80390
1600,80390
1601,80390
1602,80390
1603,80390
1604,80390
1605,80390
1606,80390
1607,50430
1608,80390
1609,80390
1610,80390
1611,80390
1612,80390
1613,80390
1614,80390
1615,80390
1616,80390
1617,80390
1618,80390
1619,80390
1620,80390
1621,80390
1622,80390
1623,80390
1624,80390
1625,80390
1626,80390
1627,80390
1628,80390
1629,80390
1630,80390
1631,80390
1632,80390
1633,80390
1634,80390
1635,80390
1636,80390
1637,80390
1638,80390
1639,80390
1640,80390
1641,80390
1642,80390
1643,80390
1644,80390
1645,80390
1646,80390
1647,80390
1648,80390
1649,80390
1650,80390
1651,80390
1652,80390
1653,80390
1654,50430
1655,80390
1656,80390
1657,80390
1658,80390
1659,50430
1660,80390
1661,80390
1662,80390
1663,80390
1664,80390
1665,80390
1666,80390
1667,80390
1668,80390
1669,80390
1670,80390
1671,80390
1672,80390
1673,80390
1674,80390
1675,80390
1676,80390
1677,80390
1678,80390
1679,80390
1680,80390
1681,80390
1682,80390
1683,80390
1684,80390
1685,80390
1686,80390
1687,80390
1688,80390
1689,80390
1690,80390
1691,80390
1692,80390
1693,80390
1694,80390
1695,80390
1696,80390
1697,80390
1698,80390
1699,80390
1700,80390
1701,80390
1702,80390
1703,80390
1704,80390
1705,80390
1706,80390
1707,80390
1708,80390
1709,80390
1710,80390
1711,80390
1712,80390
1713,80390
1714,80390
1715,80390
1716,80390
1717,80390
1718,80390
1719,80390
1720,80390
1721,80390
1722,80390
1723,80390
1724,80390
1725,80390
1726,80390
1727,80390
1728,80390
1729,80390
1730,80390
1731,80390
1732,80390
1733,80390
1734,80390
1735,80390
1736,80390
1737,80390
1738,80390
1739,80390
1740,80390
1741,80390
1742,80390
1743,80390
1744,80390
1745,80390
1746,50430
1747,80390
1748,80390
1749,80390
1750,80390
1751,80390
1752,80390
1753,80390
1754,80390
1755,80390
1756,80390
1757,80390
1758,80390
1759,80390
1760,80390
1761,80390
1762,80390
1763,80390
1764,80390
